               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094757,               0.048,             0.02554,            0.099135,             0.32845,            0.068909,            0.011168,            0.081428,            0.032459,            0.017834,           0.0033278,           0.0033278,             0.07005
                   1,             0.07551,            0.037392,            0.017553,             0.20807,             0.41011,             0.13907,            0.031081,            0.069514,            0.026975,           0.0083433,           0.0066596,           0.0066596,            0.040049
                   2,            0.073162,            0.033554,           0.0094947,             0.55709,             0.58134,             0.50582,             0.12551,            0.057454,            0.030273,           0.0044184,           0.0099856,           0.0099856,            0.010041
                   3,            0.062543,            0.033551,           0.0084983,             0.45332,             0.69579,             0.47671,             0.13885,            0.056359,            0.027398,           0.0025873,             0.00998,             0.00998,             0.00998
                   4,            0.055315,            0.034555,           0.0057172,             0.59552,             0.64639,             0.60342,              0.2212,            0.051939,            0.027049,            0.003577,             0.00998,             0.00998,             0.00998
                   5,            0.052443,            0.032504,           0.0048333,              0.8086,             0.74325,             0.76937,              0.2912,            0.043187,            0.027865,           0.0024184,           0.0099645,           0.0099645,           0.0099645
                   6,            0.048804,            0.032794,           0.0040879,             0.76172,             0.76032,             0.76467,             0.28931,            0.044958,            0.027874,           0.0017235,           0.0099446,           0.0099446,           0.0099446
                   7,            0.046633,            0.034414,           0.0035599,             0.81657,             0.78334,             0.81905,             0.34148,            0.041103,            0.027588,           0.0019483,           0.0099203,           0.0099203,           0.0099203
                   8,            0.045624,            0.031836,           0.0034919,             0.79209,             0.73151,             0.76206,              0.3175,            0.043879,            0.028673,           0.0019411,           0.0098916,           0.0098916,           0.0098916
                   9,            0.046419,            0.033208,           0.0032696,             0.68955,             0.74121,             0.68251,             0.24463,            0.045594,            0.030957,           0.0023797,           0.0098586,           0.0098586,           0.0098586
                  10,            0.043723,            0.031895,           0.0030574,             0.73662,             0.76378,             0.71788,             0.26353,            0.046346,            0.029883,           0.0012797,           0.0098213,           0.0098213,           0.0098213
